--- Relaxation Summary for Iteration 1 (Traditional) ---
Analysis Date: 2025-12-29 15:29:07

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
88           Cc              monoclinic         -6.030263                 1      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
88           Cc              monoclinic         -6.030263                 1      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
