--- Relaxation Summary for Iteration 2 (Traditional) ---
Analysis Date: 2025-12-31 19:05:30

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
22           Cc              monoclinic         -6.030263                 2      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
1408         Cc              monoclinic         -6.030263                 2      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
22           Cc              monoclinic         -6.030263                 2      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
