--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2026-01-20 00:06:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
1408         Cc              monoclinic         -6.031678                 0.00 0.00 0.00 0.0 0.0 0.0                              3      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         P1              triclinic          -6.031206                 0.00 0.00 0.00 0.0 0.0 0.0                              3      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         P1              triclinic          -6.031098                 0.00 0.00 0.00 0.0 0.0 0.0                              3      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         P1              triclinic          -6.031062                 0.00 0.00 0.00 0.0 0.0 0.0                              3      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
