--- Relaxation Summary for Main Iteration 1, GA Generation 1 ---
Analysis Date: 2025-10-03 00:31:33

--- GA Mutation Tracking Summary ---
Total Individuals: 100
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 80 (80.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
40           Pnma            orthorhombic       -2.825401                 1          1        84       D1:4.436, R21:1.290, Cell:(0.337, 0.005, 0.183, 1.913, 42.438, 13.214), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          1        81       D1:8.711, R21:0.127, Cell:(0.228, 0.385, 0.355, 19.363, 22.162, -17.413), SC:2x2x2, PhFactor:True
20           Cmmm            orthorhombic       -2.815497                 1          1        88       D1:2.104, R21:-0.037, Cell:(0.331, -0.099, -0.228, -3.303, 44.943, -0.828), SC:2x2x1, PhFactor:False
40           C2/m            monoclinic         -2.814194                 1          1        89       D1:7.207, R21:-0.939, Cell:(0.414, 0.455, 0.077, 28.275, 26.298, 3.993), SC:2x2x2, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813772                 1          1        92       D1:1.254, R21:-0.203, Cell:(0.340, 0.352, 0.221, -36.748, 29.364, -0.315), SC:2x2x1, PhFactor:True
20           Pc              monoclinic         -2.813772                 1          1        13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pm              monoclinic         -2.813772                 1          1        69       D1:2.357, R21:0.453, Cell:(0.234, -0.150, -0.263, -25.679, -6.587, 25.751), SC:2x1x2, PhFactor:False
20           Pmc2_1          orthorhombic       -2.813772                 1          1        18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pm              monoclinic         -2.813771                 1          1        72       D1:2.630, R21:-0.865, Cell:(0.324, -0.085, 0.390, 23.902, 6.214, -10.873), SC:2x1x2, PhFactor:True
20           P1              triclinic          -2.813771                 1          1        43       D1:4.419, R21:0.582, Cell:(0.085, 0.266, 0.400, 20.019, 24.278, -31.675), SC:2x1x2, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P4/mbm          tetragonal         -2.813085                 1          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P2/m            monoclinic         -2.808696                 1          1        57       D1:8.519, R21:0.443, Cell:(0.016, 0.008, 0.044, -31.843, 8.802, -31.586), SC:2x2x1, PhFactor:True
10           Cm              monoclinic         -2.802139                 1          1        78       D1:5.997, R21:0.161, Cell:(0.178, -0.321, 0.409, -41.048, -44.127, -32.496), SC:2x1x1, PhFactor:True
10           Cm              monoclinic         -2.799032                 1          1        96       D1:9.174, R21:-1.482, Cell:(0.161, -0.232, 0.489, -2.206, -41.507, 36.426), SC:2x1x1, PhFactor:True
10           P1              triclinic          -2.797067                 1          1        100      D1:7.575, R21:0.838, Cell:(-0.204, 0.410, -0.027, 0.865, -21.507, 11.018), SC:2x1x1, PhFactor:True
10           P1              triclinic          -2.797066                 1          1        93       D1:3.155, R21:-0.392, Cell:(0.125, 0.234, 0.355, 7.477, 18.671, -41.868), SC:2x1x1, PhFactor:True
10           P1              triclinic          -2.797026                 1          1        61       D1:8.795, R21:-0.409, Cell:(-0.082, 0.495, 0.387, -29.977, 19.502, -4.917), SC:1x1x2, PhFactor:True
20           Cm              monoclinic         -2.796884                 1          1        36       D1:0.425, R21:1.094, Cell:(0.254, 0.209, 0.391, 5.265, 44.443, 10.653), SC:2x2x1, PhFactor:False
20           Pm              monoclinic         -2.796884                 1          1        51       D1:4.866, R21:0.477, Cell:(0.344, 0.281, 0.330, -37.986, 36.222, 24.953), SC:2x2x1, PhFactor:False
40           Pm              monoclinic         -2.796884                 1          1        38       D1:7.235, R21:-0.278, Cell:(0.110, 0.044, 0.020, 8.061, -42.736, 38.933), SC:2x2x2, PhFactor:False
10           Pm              monoclinic         -2.796884                 1          1        85       D1:5.010, R21:1.109, Cell:(-0.116, -0.131, 0.189, -31.839, 32.062, 20.802), SC:2x1x1, PhFactor:False
20           Pm              monoclinic         -2.796884                 1          1        32       D1:3.186, R21:0.893, Cell:(0.079, -0.166, -0.031, -8.899, -12.697, -14.190), SC:2x1x2, PhFactor:False
10           P1              triclinic          -2.796884                 1          1        87       D1:4.435, R21:0.842, Cell:(-0.054, 0.395, 0.306, -0.537, -8.747, -21.308), SC:1x1x2, PhFactor:False
10           Pm              monoclinic         -2.796883                 1          1        66       D1:1.673, R21:-1.387, Cell:(0.036, 0.001, 0.118, -0.912, 40.173, 25.509), SC:2x1x1, PhFactor:False
10           P1              triclinic          -2.796883                 1          1        30       D1:3.860, R21:-1.089, Cell:(-0.223, -0.243, -0.017, -2.057, -6.770, -18.826), SC:2x1x1, PhFactor:False
5            P1              triclinic          -2.796883                 1          1        54       D1:3.563, R21:0.881, Cell:(-0.005, -0.068, -0.268, 6.967, 28.433, 30.217), SC:1x1x1, PhFactor:False
10           P1              triclinic          -2.796882                 1          1        68       D1:0.939, R21:-0.422, Cell:(0.484, 0.116, 0.324, -15.143, -28.864, 14.690), SC:1x1x2, PhFactor:True
10           P1              triclinic          -2.796882                 1          1        31       D1:0.896, R21:-1.456, Cell:(0.134, -0.014, 0.180, -21.086, -17.013, -0.290), SC:1x1x2, PhFactor:False
5            P1              triclinic          -2.796881                 1          1        75       D1:3.850, R21:1.226, Cell:(-0.126, -0.185, -0.170, 36.361, -11.983, 21.414), SC:1x1x1, PhFactor:True
10           P1              triclinic          -2.796878                 1          1        71       D1:1.357, R21:-1.177, Cell:(0.061, 0.115, 0.380, -0.131, -6.398, -20.590), SC:1x1x2, PhFactor:False
5            P1              triclinic          -2.796874                 1          1        86       D1:3.342, R21:0.597, Cell:(0.232, 0.265, 0.252, -32.356, -5.067, -38.348), SC:1x1x1, PhFactor:True
10           P1              triclinic          -2.796869                 1          1        90       D1:0.369, R21:1.261, Cell:(0.196, 0.287, 0.147, -40.290, 10.316, -3.363), SC:2x1x1, PhFactor:True
5            P1              triclinic          -2.796868                 1          1        44       D1:5.621, R21:1.258, Cell:(0.410, 0.285, -0.144, -28.216, 0.021, 26.432), SC:1x1x1, PhFactor:True
5            Amm2            orthorhombic       -2.795059                 1          1        49       D1:2.483, R21:1.396, Cell:(0.079, -0.078, 0.405, 35.465, -8.702, 29.503), SC:1x1x1, PhFactor:True
40           Amm2            orthorhombic       -2.795059                 1          1        42       D1:8.923, R21:1.164, Cell:(0.322, -0.057, 0.013, 38.128, 4.384, -13.388), SC:2x2x2, PhFactor:False
10           Amm2            orthorhombic       -2.795059                 1          1        76       D1:9.527, R21:0.537, Cell:(-0.026, -0.043, 0.422, 32.122, 2.938, 16.267), SC:2x1x1, PhFactor:False
20           Pm              monoclinic         -2.795058                 1          1        35       D1:7.851, R21:0.738, Cell:(0.387, 0.074, -0.087, -12.433, -24.401, 5.783), SC:2x1x2, PhFactor:False
5            Cm              monoclinic         -2.791492                 1          1        52       D1:9.100, R21:-1.127, Cell:(0.365, -0.368, -0.001, -31.755, 21.101, 40.799), SC:1x1x1, PhFactor:False
20           Cm              monoclinic         -2.791491                 1          1        59       D1:6.290, R21:-0.053, Cell:(0.461, 0.408, -0.368, 29.605, -11.421, 30.483), SC:2x1x2, PhFactor:True
