--- Relaxation Summary for Main Iteration 1, GA Generation 2 ---
Analysis Date: 2025-10-03 00:40:11

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 43 (86.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
40           Pnma            orthorhombic       -2.825401                 1          2        34       D1:7.207, R21:-0.939, Cell:(-0.070, -0.070, -0.267, 0.000, 0.000, 1.857), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        38       D1:4.436, R21:1.290, Cell:(0.337, 0.005, 0.183, 0.000, 23.317, 0.000), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        14       D1:1.254, R21:-0.203, Cell:(0.340, 0.352, -0.104, -36.748, 29.364, 13.214), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        41       D1:4.436, R21:1.290, Cell:(0.337, 0.005, 0.183, 19.363, 22.162, -17.413), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        1        D1:4.436, R21:1.290, Cell:(0.337, 0.005, 0.183, 1.913, 42.438, 13.214), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        12       D1:1.439, R21:-0.350, Cell:(0.337, 0.005, 0.077, 28.275, 26.298, 3.993), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        33       D1:5.997, R21:0.161, Cell:(0.178, 0.005, 0.183, 1.913, 42.438, 13.214), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.825401                 1          2        49       D1:3.309, R21:1.290, Cell:(0.337, 0.005, 0.183, -24.606, 42.438, 13.214), SC:2x2x2, PhFactor:True
40           P-1             triclinic          -2.824739                 1          2        40       D1:8.711, R21:-1.444, Cell:(0.228, -0.418, 0.355, 22.888, -38.316, 13.214), SC:2x2x2, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          2        28       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          2        21       D1:4.000, R21:-0.292, Cell:(0.070, 0.070, 0.070, 0.000, 44.943, -0.828), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          2        42       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, -36.151, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          2        18       D1:0.250, R21:0.250, Cell:(-0.070, 0.176, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P2_1            monoclinic         -2.813773                 1          2        24       D1:2.104, R21:-0.037, Cell:(0.331, -0.099, 0.000, 13.735, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          2        19       D1:4.000, R21:0.250, Cell:(0.000, 0.146, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
20           P2_1            monoclinic         -2.813773                 1          2        23       D1:1.531, R21:0.250, Cell:(0.070, 0.070, 0.070, -20.587, 0.000, -0.828), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813773                 1          2        35       D1:4.000, R21:-0.389, Cell:(0.414, 0.455, 0.275, 28.275, 26.298, 3.993), SC:2x2x1, PhFactor:True
20           Pmc2_1          orthorhombic       -2.813772                 1          2        50       D1:4.000, R21:-1.204, Cell:(0.070, 0.006, 0.070, -35.859, -6.877, 0.000), SC:2x2x1, PhFactor:True
