--- Relaxation Summary for Main Iteration 4, GA Generation 1 ---
Analysis Date: 2025-10-03 04:14:32

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 12
Replacement Rate: 24.00%
Selected Modes for Replacement:
  1. T (freq: -0.7977, band: 0)
  2. Y (freq: -0.3423, band: 2)
  3. T (freq: -0.7977, band: 0)
  4. Y (freq: -1.0755, band: 0)
  5. Y (freq: -0.6214, band: 1)
  ... and 7 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 63 (63.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           Pnma            orthorhombic       -2.840266                 4          1        13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 4          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
