--- Relaxation Summary for Main Iteration 4, GA Generation 3 ---
Analysis Date: 2025-10-03 04:45:31

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. Z (freq: 0.2485, band: 0)
  2. R (freq: 2.9898, band: 59)
  3. Y (freq: 0.3600, band: 0)
  4. S (freq: 0.5750, band: 0)
  5. Z (freq: 3.0912, band: 59)
  ... and 5 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 44 (88.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           Pnma            orthorhombic       -2.840266                 4          3        17       D1:1.000, R21:-0.250, Cell:(-0.293, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          3        3        D1:0.022, R21:1.118, Cell:(-0.293, 0.000, -0.028, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
40           Pnma            orthorhombic       -2.840266                 4          3        27       D1:1.000, R21:-0.250, Cell:(-0.068, -0.184, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          3        42       D1:1.935, R21:-0.250, Cell:(0.000, 0.364, -0.070, 0.000, 0.000, 9.349), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          3        2        D1:0.250, R21:-0.153, Cell:(0.070, -0.148, 0.222, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          3        11       D1:1.000, R21:-0.250, Cell:(-0.155, 0.364, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 4          3        1        D1:1.000, R21:-0.250, Cell:(0.000, -0.184, 0.070, 34.625, 0.000, 0.000), SC:2x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 4          3        50       D1:1.000, R21:-0.250, Cell:(-0.293, 0.000, 0.000, -25.332, 0.000, 0.000), SC:1x1x1, PhFactor:True
80           Pnma            orthorhombic       -2.840266                 4          3        34       D1:9.981, R21:0.684, Cell:(0.070, -0.219, 0.222, 0.000, 0.000, 9.957), SC:2x1x2, PhFactor:False
20           Pnma            orthorhombic       -2.840266                 4          3        44       D1:0.250, R21:0.798, Cell:(0.213, -0.148, 0.000, 0.000, 37.590, 0.000), SC:1x1x1, PhFactor:False
40           Pnma            orthorhombic       -2.840266                 4          3        29       D1:1.000, R21:0.240, Cell:(0.070, -0.242, -0.275, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 4          3        20       D1:0.250, R21:1.311, Cell:(0.070, 0.463, -0.275, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840265                 4          3        14       D1:1.000, R21:0.000, Cell:(0.459, -0.148, 0.222, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840265                 4          3        36       D1:1.000, R21:-0.250, Cell:(0.024, -0.173, 0.000, -25.332, 0.000, 0.000), SC:1x1x2, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 4          3        8        D1:0.250, R21:0.000, Cell:(-0.211, -0.148, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
