--- Relaxation Summary for Main Iteration 5, GA Generation 1 ---
Analysis Date: 2025-10-03 05:52:24

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. Z (freq: 0.2485, band: 0)
  2. R (freq: 2.9898, band: 59)
  3. Y (freq: 0.3600, band: 0)
  4. S (freq: 0.5750, band: 0)
  5. Z (freq: 3.0912, band: 59)
  ... and 5 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 66 (66.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           Pnma            orthorhombic       -2.840266                 5          1        13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840265                 5          1        40       D1:4.622, R21:-0.247, Cell:(0.060, 0.101, 0.025, 11.585, 16.496, 0.454), SC:2x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840265                 5          1        2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
