--- Relaxation Summary for Main Iteration 5, GA Generation 2 ---
Analysis Date: 2025-10-03 06:06:34

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 8
Replacement Rate: 16.00%
Selected Modes for Replacement:
  1. Y (freq: 0.3593, band: 0)
  2. T (freq: 0.3644, band: 0)
  3. T (freq: 3.1392, band: 59)
  4. X (freq: 0.6235, band: 0)
  5. X (freq: 3.0864, band: 59)
  ... and 3 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 48 (96.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
160          Pnma            orthorhombic       -2.840266                 5          2        26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          2        31       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        1        D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        22       D1:0.250, R21:0.250, Cell:(-0.070, -0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          2        11       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
160          Pnma            orthorhombic       -2.840266                 5          2        42       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        24       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        13       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        48       D1:4.000, R21:0.357, Cell:(-0.033, -0.210, -0.070, -10.383, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        38       D1:2.568, R21:0.250, Cell:(0.070, 0.070, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        50       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.270, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840266                 5          2        27       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          2        41       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        7        D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840265                 5          2        28       D1:0.250, R21:0.011, Cell:(0.440, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
160          Pnma            orthorhombic       -2.840265                 5          2        44       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
80           Pnma            orthorhombic       -2.840265                 5          2        8        D1:1.000, R21:0.000, Cell:(0.228, 0.000, 0.081, 0.000, 0.000, -12.981), SC:2x2x1, PhFactor:False
20           Pnma            orthorhombic       -2.840265                 5          2        21       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 11.669, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        33       D1:1.000, R21:0.000, Cell:(0.000, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        29       D1:7.873, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 29.939), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        20       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 16.522, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        23       D1:3.923, R21:-0.250, Cell:(0.070, 0.070, -0.070, 16.820, 0.000, 0.000), SC:1x1x1, PhFactor:True
80           Pnma            orthorhombic       -2.840265                 5          2        9        D1:1.000, R21:-0.250, Cell:(0.000, -0.053, 0.000, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
40           P2_1/m          orthorhombic       -2.840265                 5          2        37       D1:0.860, R21:-1.409, Cell:(0.070, 0.070, -0.350, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840265                 5          2        35       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 12.033, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        15       D1:8.194, R21:-0.250, Cell:(0.070, 0.070, 0.070, 25.819, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840265                 5          2        10       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, -20.320), SC:1x1x1, PhFactor:True
