--- Relaxation Summary for Main Iteration 5, GA Generation 3 ---
Analysis Date: 2025-10-03 06:37:17

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 8
Replacement Rate: 16.00%
Selected Modes for Replacement:
  1. Z (freq: 0.2483, band: 0)
  2. Y (freq: 3.2167, band: 59)
  3. Y (freq: 0.3593, band: 0)
  4. X (freq: 3.0864, band: 59)
  5. Y (freq: 0.3593, band: 0)
  ... and 3 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 50
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 48 (96.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
160          Pnma            orthorhombic       -2.840266                 5          3        1        D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          3        38       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          3        19       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          3        2        D1:1.988, R21:0.708, Cell:(0.069, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          3        41       D1:0.250, R21:-0.250, Cell:(0.070, -0.008, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
20           Pnma            orthorhombic       -2.840266                 5          3        40       D1:0.250, R21:0.250, Cell:(-0.070, -0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          3        26       D1:0.250, R21:0.215, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 23.314), SC:2x1x1, PhFactor:False
20           Pnma            orthorhombic       -2.840266                 5          3        22       D1:0.250, R21:-1.195, Cell:(-0.385, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
40           Pnma            orthorhombic       -2.840266                 5          3        18       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
40           Pnma            orthorhombic       -2.840266                 5          3        39       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
160          Pnma            orthorhombic       -2.840266                 5          3        15       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
