--- Relaxation Summary for Iteration 2 (Traditional) ---
Analysis Date: 2025-10-02 23:03:11

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
80           Cm              monoclinic         -2.819143                 2      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
80           Cm              monoclinic         -2.819143                 2      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
