--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-10-02 23:37:16

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
80           Cm              monoclinic         -2.819143                 2      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 2      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 4      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 2      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 4      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 4      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 5      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 3      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 3      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 5      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 2      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 3      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 5      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           Cm              monoclinic         -2.819143                 2      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
80           P1              triclinic          -2.819143                 4      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
