--- Relaxation Summary for Main Iteration 1, GA Generation 2 ---
Analysis Date: 2025-08-26 16:29:08

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
24           P2_1/c          monoclinic         -10.165868                1          2        15       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, 0.298, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                1          2        44       D1:6.368, R21:-0.436, Cell:(0.425, 0.252, 0.106, -28.208, 7.257, 17.599), SC:2x2x1, PhFactor:False
24           I4_1/amd        tetragonal         -10.160075                1          2        1        D1:6.368, R21:-0.436, Cell:(0.322, -0.076, -0.186, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
24           I4_1/amd        tetragonal         -10.160075                1          2        40       D1:6.368, R21:-0.436, Cell:(0.322, -0.076, -0.186, 4.036, 7.214, 14.744), SC:1x1x2, PhFactor:False
24           I4_1/amd        tetragonal         -10.160075                1          2        49       D1:7.193, R21:-0.436, Cell:(0.322, -0.076, 0.407, 4.036, 7.214, -39.825), SC:1x1x2, PhFactor:False
12           I4_1/amd        tetragonal         -10.160075                1          2        36       D1:4.000, R21:-0.436, Cell:(0.322, 0.367, -0.186, 9.912, 11.408, -19.470), SC:1x1x1, PhFactor:True
24           I4_1/amd        tetragonal         -10.160075                1          2        3        D1:5.036, R21:-0.436, Cell:(0.322, 0.176, -0.186, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:False
24           I4_1/amd        tetragonal         -10.160075                1          2        4        D1:0.258, R21:-1.095, Cell:(0.158, 0.171, -0.186, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
12           I4_1/amd        tetragonal         -10.160075                1          2        6        D1:1.000, R21:0.789, Cell:(0.110, 0.136, 0.500, 3.715, -37.697, -9.861), SC:1x1x1, PhFactor:False
24           I4_1/amd        tetragonal         -10.160075                1          2        16       D1:9.528, R21:-0.436, Cell:(0.322, 0.171, 0.218, 4.036, 7.214, -39.825), SC:1x1x2, PhFactor:False
24           I4_1/amd        tetragonal         -10.160075                1          2        22       D1:5.067, R21:-1.232, Cell:(0.326, 0.136, 0.100, 2.248, -37.697, 0.000), SC:1x1x2, PhFactor:False
24           Pbcn            orthorhombic       -10.155919                1          2        14       D1:0.696, R21:-0.436, Cell:(0.322, 0.096, -0.070, -11.895, 0.000, 0.000), SC:1x1x2, PhFactor:False
12           Pnma            orthorhombic       -10.139129                1          2        37       D1:7.811, R21:-0.250, Cell:(0.442, 0.070, -0.343, 29.920, 0.000, 0.000), SC:1x1x1, PhFactor:True
48           P2_1/m          monoclinic         -10.135872                1          2        28       D1:5.889, R21:0.638, Cell:(0.322, -0.076, -0.186, 9.912, -4.262, -19.470), SC:2x2x1, PhFactor:True
48           P2_1/m          monoclinic         -10.135872                1          2        25       D1:0.127, R21:-0.253, Cell:(0.466, 0.348, 0.340, -12.953, -16.519, 17.599), SC:2x2x1, PhFactor:False
48           P2_1/m          monoclinic         -10.135872                1          2        27       D1:5.036, R21:-0.917, Cell:(0.425, 0.252, -0.186, 9.912, -4.262, -19.470), SC:2x2x1, PhFactor:False
24           P2_1/m          monoclinic         -10.135872                1          2        46       D1:6.368, R21:-1.095, Cell:(-0.330, 0.171, 0.218, 4.036, 7.214, -26.655), SC:1x1x2, PhFactor:False
24           P2_1/m          monoclinic         -10.135872                1          2        20       D1:0.258, R21:-1.095, Cell:(0.278, 0.171, 0.218, 4.036, 7.214, -16.573), SC:1x1x2, PhFactor:False
24           P2_1/m          monoclinic         -10.135872                1          2        48       D1:0.258, R21:-1.095, Cell:(-0.159, 0.171, -0.186, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
