--- Relaxation Summary for Main Iteration 5, GA Generation 2 ---
Analysis Date: 2025-08-26 17:34:42

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
24           P2_1/c          monoclinic         -10.165868                5          2        19       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                5          2        41       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.078, 0.000, -4.963, 0.000), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        32       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.237, 4.335, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        43       D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 25.683, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        44       D1:0.250, R21:0.000, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        12       D1:0.250, R21:0.250, Cell:(-0.049, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        22       D1:7.866, R21:-0.250, Cell:(0.015, 0.485, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        1        D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        42       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        24       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        47       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        10       D1:0.250, R21:0.823, Cell:(0.000, -0.190, -0.166, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        7        D1:0.250, R21:-1.116, Cell:(0.186, 0.000, -0.158, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        21       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        27       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -35.308, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        38       D1:1.000, R21:-1.126, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
