--- Relaxation Summary for Main Iteration 5, GA Generation 3 ---
Analysis Date: 2025-08-26 17:39:16

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
24           P2_1/c          monoclinic         -10.165869                5          3        39       D1:4.000, R21:0.250, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165869                5          3        20       D1:0.250, R21:0.250, Cell:(-0.049, 0.000, 0.000, 0.000, -34.440, 0.000), SC:2x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165869                5          3        44       D1:4.000, R21:-0.087, Cell:(0.000, 0.000, 0.000, 0.000, 25.683, 0.000), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        1        D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        2        D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        21       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        49       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        10       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, -0.382, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        7        D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        31       D1:4.225, R21:-0.250, Cell:(0.000, 0.000, -0.237, 4.335, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        11       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        16       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.078, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        34       D1:2.032, R21:0.000, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        50       D1:0.250, R21:0.288, Cell:(-0.049, 0.000, 0.046, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        13       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.237, 10.223, 0.000, 0.000), SC:2x1x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                5          3        6        D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.237, 4.335, 0.000, 0.000), SC:2x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        46       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.108, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        38       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 12.618, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        4        D1:4.000, R21:0.000, Cell:(0.000, 0.485, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
48           P2_1/c          monoclinic         -10.165868                5          3        32       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          3        28       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.078, 0.000, -4.963, 0.000), SC:2x1x1, PhFactor:True
24           I4_1/amd        tetragonal         -10.160075                5          3        24       D1:4.000, R21:0.000, Cell:(0.000, 0.207, 0.078, 39.960, 0.000, 0.000), SC:1x1x2, PhFactor:True
48           Pbcn            orthorhombic       -10.155919                5          3        9        D1:7.581, R21:-0.250, Cell:(0.000, 0.000, 0.284, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:False
24           Pbcn            orthorhombic       -10.155919                5          3        26       D1:0.250, R21:0.000, Cell:(0.000, -0.229, 0.085, 0.000, -4.963, 20.615), SC:1x1x2, PhFactor:False
48           Pbcn            orthorhombic       -10.155919                5          3        48       D1:5.862, R21:-0.250, Cell:(0.000, 0.000, 0.216, 4.335, 0.000, 0.000), SC:2x2x1, PhFactor:False
24           Pbcn            orthorhombic       -10.155919                5          3        30       D1:4.000, R21:0.000, Cell:(0.000, -0.029, 0.494, 0.000, -4.963, 0.000), SC:2x1x1, PhFactor:True
12           Pbcn            orthorhombic       -10.155919                5          3        45       D1:0.250, R21:0.000, Cell:(0.000, -0.251, 0.273, 0.000, -4.963, 0.000), SC:1x1x1, PhFactor:False
24           Pca2_1          orthorhombic       -10.145787                5          3        29       D1:4.000, R21:-1.125, Cell:(0.309, 0.000, -0.284, 0.000, -19.427, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/m          monoclinic         -10.135872                5          3        14       D1:4.000, R21:0.250, Cell:(0.476, 0.000, 0.000, 0.000, 3.207, 0.000), SC:2x1x1, PhFactor:False
12           P2_1/m          monoclinic         -10.135872                5          3        25       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.069, -24.804, -4.963, 0.000), SC:1x1x1, PhFactor:True
