--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-26 17:55:57

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
24           P2_1/c          monoclinic         -10.165869                3          3        26       D1:1.000, R21:0.859, Cell:(-0.309, 0.000, 0.000, 0.000, 8.494, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165869                5          3        39       D1:4.000, R21:0.250, Cell:(0.000, 0.000, -0.121, 0.000, 15.048, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165869                1          3        13       D1:5.067, R21:-1.232, Cell:(-0.090, -0.070, 0.298, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                4          3        42       D1:0.250, R21:0.965, Cell:(0.000, 0.000, -0.174, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165869                3          3        19       D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.223, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165869                3          2        10       D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.223, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                3          3        1        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.223, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                3          3        16       D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.223, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
12           P2_1/c          monoclinic         -10.165869                4          3        26       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.047, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                2          2        29       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.004, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                2          3        46       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.004, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                2          3        1        D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.004, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                2          3        41       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.004, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                2          3        50       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.004, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                4          3        18       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.031, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                5          3        20       D1:0.250, R21:0.250, Cell:(-0.049, 0.000, 0.000, 0.000, -34.440, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                3          3        4        D1:5.730, R21:0.250, Cell:(0.070, 0.070, 0.223, 0.000, 13.517, 0.000), SC:1x1x2, PhFactor:True
12           P2_1/c          monoclinic         -10.165869                5          3        44       D1:4.000, R21:-0.087, Cell:(0.000, 0.000, 0.000, 0.000, 25.683, 0.000), SC:1x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165869                2          3        25       D1:4.312, R21:0.250, Cell:(0.000, 0.000, 0.072, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          3        44       D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                4          3        41       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -8.516, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                4          3        19       D1:0.250, R21:-0.442, Cell:(0.000, 0.000, 0.000, 0.000, -7.344, 0.000), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          1        15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          2        1        D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          1        15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        1        D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          2        17       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        16       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        45       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          3        5        D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
