# Frequency(THz)  DOS_Intensity
-4.316364819454853397e+00 1.697178830493694182e-02
-4.181538507610904176e+00 4.468943874097998759e+00
-4.046712195766954068e+00 1.021586981486527002e+01
-3.911885883923005736e+00 8.391591235265503101e+00
-3.777059572079056071e+00 1.009966128979316835e+01
-3.642233260235106851e+00 9.560828103096701724e+00
-3.507406948391157631e+00 8.773676989364945555e+00
-3.372580636547208410e+00 1.846342151147679189e+01
-3.237754324703259190e+00 1.213358614024618909e+01
-3.102928012859309526e+00 1.339319395215907882e+01
-2.968101701015360749e+00 1.497712658805777153e+01
-2.833275389171411529e+00 1.045429608100577923e+01
-2.698449077327461865e+00 1.959375216761052485e+01
-2.563622765483512644e+00 9.254326741266673650e+00
-2.428796453639563424e+00 1.442792957159266898e+01
-2.293970141795614204e+00 1.143169233216703518e+01
-2.159143829951664983e+00 1.833113190364698752e+01
-2.024317518107715319e+00 8.039030784462481094e+00
-1.889491206263766321e+00 1.656594830107829353e+01
-1.754664894419817323e+00 1.491992879517042425e+01
-1.619838582575867880e+00 1.663097967636457497e+01
-1.485012270731918438e+00 1.818953790651512747e+01
-1.350185958887969218e+00 1.956962430724444246e+01
-1.215359647044020219e+00 2.652294852051616303e+01
-1.080533335200070777e+00 2.257533931428969254e+01
-9.457070233561213346e-01 2.342399077926127404e+01
-8.108807115121722253e-01 1.915080235493994465e+01
-6.760543996682231160e-01 2.037889868505893887e+01
-5.412280878242736737e-01 1.554434785412425768e+01
-4.064017759803241758e-01 1.253100971622862936e+01
-2.715754641363755661e-01 9.994614914458139765e+00
-1.367491522924260683e-01 5.075897985261240031e+00
-1.922840448476591897e-03 1.473627188359244888e+00
1.329034713954728997e-01 5.678671612678371616e+00
2.677297832394223698e-01 9.896153017614865988e+00
4.025560950833710350e-01 1.292486938369185268e+01
5.373824069273205328e-01 2.731899227378135109e+01
6.722087187712699752e-01 3.303498646005905925e+01
8.070350306152186404e-01 4.611287340572615534e+01
9.418613424591680827e-01 5.146161406681837747e+01
1.076687654303117636e+00 5.511983558139016282e+01
1.211513966147067078e+00 5.952902597801681850e+01
1.346340277991016521e+00 8.586959645306390598e+01
1.481166589834965297e+00 9.536822527221536916e+01
1.615992901678914739e+00 1.217495940613936085e+02
1.750819213522864182e+00 1.422073715328805577e+02
1.885645525366812736e+00 1.696268531990585586e+02
2.020471837210762178e+00 2.735555004596067192e+02
2.155298149054711843e+00 4.138452669006721862e+02
2.290124460898661063e+00 4.218725731712857510e+02
2.424950772742610727e+00 4.846668768388286708e+02
2.559777084586559504e+00 6.690654146869796932e+02
