# Frequency(THz)  DOS_Intensity
-2.643792223841085587e+00 2.320500900700668643e-03
-2.512434375100449646e+00 6.337109748062518255e-01
-2.381076526359813705e+00 1.206291760777332689e+00
-2.249718677619178209e+00 1.251021752785660857e+00
-2.118360828878541824e+00 2.068452713617251693e+00
-1.987002980137906105e+00 1.533253569944460937e+00
-1.855645131397270164e+00 1.821564026876150599e+00
-1.724287282656634002e+00 3.422465735433457112e+00
-1.592929433915998283e+00 6.823194065231311889e+00
-1.461571585175362342e+00 1.004158132862294650e+01
-1.330213736434726624e+00 1.186188341940915691e+01
-1.198855887694090461e+00 1.049721299701400135e+01
-1.067498038953454520e+00 8.731253114448836783e+00
-9.361401902128188013e-01 1.038334456036596620e+01
-8.047823414721827495e-01 1.538282631964313296e+01
-6.734244927315470308e-01 1.755640275822917218e+01
-5.420666439909109791e-01 1.564173825878316038e+01
-4.107087952502749828e-01 1.087028671724513984e+01
-2.793509465096390421e-01 1.063521163504726985e+01
-1.479930977690034344e-01 5.336036357559440724e+00
-1.663524902836745548e-02 8.195742266643205598e-01
1.147225997122685304e-01 4.156593277781879259e+00
2.460804484529045266e-01 9.877579989769653679e+00
3.774382971935404951e-01 2.071161401579303174e+01
5.087961459341765469e-01 2.715197966153007414e+01
6.401539946748120435e-01 4.170479807648715109e+01
7.715118434154480953e-01 4.821051866787065876e+01
9.028696921560840360e-01 5.772108101387216550e+01
1.034227540896720088e+00 7.837164679665208666e+01
1.165585389637355584e+00 8.000021077894710686e+01
1.296943238377991525e+00 1.017891705953447712e+02
1.428301087118627688e+00 1.251639372942559163e+02
1.559658935859263629e+00 1.477335975640328343e+02
1.691016784599899569e+00 1.993421982216986805e+02
1.822374633340535510e+00 2.591481971697829181e+02
1.953732482081171451e+00 2.940239970360286179e+02
2.085090330821807392e+00 3.403644675955107459e+02
2.216448179562443332e+00 3.884252078070175571e+02
2.347806028303078829e+00 4.250840163714245250e+02
2.479163877043714770e+00 4.092983035256685866e+02
2.610521725784350711e+00 3.922481785337114388e+02
2.741879574524986651e+00 3.677806741394400092e+02
2.873237423265622592e+00 3.491364465510106356e+02
3.004595272006258533e+00 3.350430568008147816e+02
3.135953120746894474e+00 3.253782201099946292e+02
3.267310969487530414e+00 2.964112542367051901e+02
3.398668818228166799e+00 2.964569182618807872e+02
3.530026666968802740e+00 3.219331503682287234e+02
3.661384515709438681e+00 3.760644572949378244e+02
3.792742364450074177e+00 4.116379795828650003e+02
3.924100213190709230e+00 3.110503199648087502e+02
4.055458061931346059e+00 2.681831903102211641e+02
4.186815910671981555e+00 2.256344710397844437e+02
4.318173759412617940e+00 2.023126401757097881e+02
4.449531608153253437e+00 1.674327180618147963e+02
4.580889456893889822e+00 1.870211925379343256e+02
4.712247305634525318e+00 2.002077012689031505e+02
4.843605154375161703e+00 2.329436773659909363e+02
4.974963003115797200e+00 2.849479123335838722e+02
5.106320851856434473e+00 3.682066452335407689e+02
5.237678700597069081e+00 4.064763949543902868e+02
5.369036549337706354e+00 4.863035921135921740e+02
5.500394398078340963e+00 5.625212821116438136e+02
5.631752246818978236e+00 4.895353179619665980e+02
5.763110095559612844e+00 3.396759550004548487e+02
5.894467944300248341e+00 2.491575914670914642e+02
6.025825793040884726e+00 1.890692239949046325e+02
6.157183641781520222e+00 1.624709927337489432e+02
6.288541490522157495e+00 1.542223943627418805e+02
6.419899339262792104e+00 1.750354794349034933e+02
6.551257188003429377e+00 1.904461672430940951e+02
6.682615036744063985e+00 1.825022399714663663e+02
6.813972885484701258e+00 1.852339867214606670e+02
6.945330734225335867e+00 1.726780653618401118e+02
7.076688582965973140e+00 1.920508020150018638e+02
7.208046431706608637e+00 1.838556924415017306e+02
7.339404280447243245e+00 1.772577522341976817e+02
7.470762129187880518e+00 1.904225769624172244e+02
7.602119977928515127e+00 1.819808897232571212e+02
7.733477826669152400e+00 1.823706038181547626e+02
7.864835675409787008e+00 1.936940455921246382e+02
7.996193524150424281e+00 1.735348294235888318e+02
8.127551372891058890e+00 1.881396132349735524e+02
8.258909221631695274e+00 1.834479446596644152e+02
8.390267070372331659e+00 1.663669984174017031e+02
8.521624919112968044e+00 1.810045430808057176e+02
8.652982767853602653e+00 2.072418759383670590e+02
8.784340616594239037e+00 1.961655670371123961e+02
8.915698465334875422e+00 1.620886680327955958e+02
9.047056314075510031e+00 1.534625095664432024e+02
9.178414162816146415e+00 1.449026639797942266e+02
9.309772011556782800e+00 1.426979704211387912e+02
9.441129860297419185e+00 1.337288699783487971e+02
9.572487709038053794e+00 1.179281013322164569e+02
9.703845557778691955e+00 1.407930725172691382e+02
9.835203406519326563e+00 1.177204865037526673e+02
9.966561255259962948e+00 1.156058414524232489e+02
1.009791910400059756e+01 1.375808599408761381e+02
1.022927695274123394e+01 1.120799824343689295e+02
1.036063480148187033e+01 1.419913813780410123e+02
1.049199265022250493e+01 1.250341696179904147e+02
1.062335049896314310e+01 1.410375389448659860e+02
1.075470834770377770e+01 1.293615664828190575e+02
1.088606619644441409e+01 1.389818579935640059e+02
1.101742404518504870e+01 1.667548876431215206e+02
1.114878189392568686e+01 1.798282006797663541e+02
1.128013974266632147e+01 1.849861187100587188e+02
1.141149759140695608e+01 1.795857736996188692e+02
1.154285544014759424e+01 1.848036116238106388e+02
1.167421328888822885e+01 1.869542821442339573e+02
1.180557113762886523e+01 2.047762343462727586e+02
1.193692898636949984e+01 1.833699543080454077e+02
1.206828683511013800e+01 2.037695949877033570e+02
1.219964468385077261e+01 2.330570382247925920e+02
1.233100253259140899e+01 2.785763820118190779e+02
1.246236038133204360e+01 2.590540766670521293e+02
1.259371823007267999e+01 2.663681869254789945e+02
1.272507607881331637e+01 2.176725593530746607e+02
1.285643392755395276e+01 1.708157601756873305e+02
1.298779177629458736e+01 1.550854024427786442e+02
1.311914962503522375e+01 1.317800288764797472e+02
1.325050747377586013e+01 1.139350560355222939e+02
1.338186532251649652e+01 1.162942652794444598e+02
1.351322317125713113e+01 1.104762943676262239e+02
1.364458101999776751e+01 1.011732330404958162e+02
1.377593886873840390e+01 9.770978731961362485e+01
1.390729671747904206e+01 9.437285308273634143e+01
1.403865456621967489e+01 9.963974863398331649e+01
1.417001241496031128e+01 1.613476482226494397e+02
1.430137026370094766e+01 1.171473726583981829e+02
1.443272811244158227e+01 1.093623619707944812e+02
1.456408596118221865e+01 1.237151054852902945e+02
1.469544380992285504e+01 1.486871669109755203e+02
1.482680165866349142e+01 1.565022700740367441e+02
1.495815950740412603e+01 1.349791092631610638e+02
1.508951735614476242e+01 1.475565400884595135e+02
1.522087520488539703e+01 1.564485240859022497e+02
1.535223305362603519e+01 1.733233540919685254e+02
1.548359090236666802e+01 1.671777026685984708e+02
1.561494875110730440e+01 1.804704263320508062e+02
1.574630659984794256e+01 1.562860413986414585e+02
1.587766444858857540e+01 1.916139494102528431e+02
1.600902229732921356e+01 1.691489780097891469e+02
1.614038014606984817e+01 2.091785774428988702e+02
1.627173799481048633e+01 2.309959900566273348e+02
1.640309584355111738e+01 2.332512991479361801e+02
1.653445369229175554e+01 2.470292729184887150e+02
1.666581154103239371e+01 2.532564068601772931e+02
1.679716938977302831e+01 2.762083222630935211e+02
1.692852723851366292e+01 3.146555104143484982e+02
1.705988508725430108e+01 3.179590201378601364e+02
1.719124293599493569e+01 3.061443255753817994e+02
1.732260078473557030e+01 2.376678316597816547e+02
1.745395863347620846e+01 2.247283964042922548e+02
1.758531648221684307e+01 2.057767997911518023e+02
1.771667433095748123e+01 2.231832435234995273e+02
1.784803217969811584e+01 1.981443971204750767e+02
1.797939002843875045e+01 2.328194558288831786e+02
1.811074787717938861e+01 2.804584448198833115e+02
1.824210572592002322e+01 2.634869713409910901e+02
1.837346357466065783e+01 2.122832331449161245e+02
1.850482142340129599e+01 1.582694164303971434e+02
1.863617927214193060e+01 1.295332629099809481e+02
1.876753712088256520e+01 1.278005960964013070e+02
1.889889496962320337e+01 9.977752174595451606e+01
1.903025281836383797e+01 7.552500394804889083e+01
1.916161066710447614e+01 5.562825678188009704e+01
1.929296851584511074e+01 4.530605907542278032e+01
1.942432636458574535e+01 5.405415380642787682e+01
1.955568421332638351e+01 7.471349616219380607e+01
1.968704206206701812e+01 1.031715655436513686e+02
1.981839991080765273e+01 8.244378236167240459e+01
1.994975775954829089e+01 8.019703124915744752e+01
2.008111560828892550e+01 1.002050767096881287e+02
2.021247345702956011e+01 1.311150782665937982e+02
2.034383130577019827e+01 1.595520871948772879e+02
2.047518915451083288e+01 1.912502932164340734e+02
2.060654700325147104e+01 2.333866322493793461e+02
2.073790485199210565e+01 3.227945968578000020e+02
2.086926270073274026e+01 3.896687563101445448e+02
2.100062054947337842e+01 3.802744226990889729e+02
2.113197839821401303e+01 3.191023351880584755e+02
2.126333624695464763e+01 2.991934128285311090e+02
2.139469409569528580e+01 1.521007412862270769e+02
2.152605194443592040e+01 1.132390820126417594e+02
2.165740979317655501e+01 1.066342387119536284e+02
2.178876764191719317e+01 1.075906218883555567e+02
2.192012549065782778e+01 5.244497112029267782e+01
2.205148333939846594e+01 3.701366812289474240e+01
2.218284118813910055e+01 3.148910750018483640e+01
2.231419903687973516e+01 2.825013464259941287e+01
2.244555688562037332e+01 2.134466772157866643e+01
2.257691473436101148e+01 1.997220375374498147e+01
2.270827258310164254e+01 1.774883874869223988e+01
2.283963043184228070e+01 1.467946642120409528e+01
2.297098828058291531e+01 1.200058849446730136e+01
2.310234612932354992e+01 9.143318425077803013e+00
2.323370397806418808e+01 6.363078750033251296e+00
2.336506182680482269e+01 3.707531089228546239e+00
2.349641967554546085e+01 7.864851214968208992e-03
