# Frequency(THz)  DOS_Intensity
-2.643625574053458216e+00 2.320512781993767752e-03
-2.512272907331992933e+00 6.336887199750494970e-01
-2.380920240610526761e+00 1.206276698429501915e+00
-2.249567573889061034e+00 1.251266594788553732e+00
-2.118214907167595307e+00 2.069151539827397634e+00
-1.986862240446129579e+00 1.532028173982816099e+00
-1.855509573724663630e+00 1.822876558409186165e+00
-1.724156907003197903e+00 3.419752289469896400e+00
-1.592804240281732175e+00 6.823687291764425566e+00
-1.461451573560266226e+00 1.003463171986389391e+01
-1.330098906838800499e+00 1.186528593896316508e+01
-1.198746240117334771e+00 1.049330227023621376e+01
-1.067393573395869044e+00 8.728773653200876836e+00
-9.360409066744033169e-01 1.037859583782318573e+01
-8.046882399529374785e-01 1.535424941355662831e+01
-6.733355732314714182e-01 1.752335050841828235e+01
-5.419829065100058019e-01 1.566120691873895865e+01
-4.106302397885402411e-01 1.087994318223024948e+01
-2.792775730670742362e-01 1.065038488034787356e+01
-1.479249063456086200e-01 5.363127204054826791e+00
-1.657223962414261509e-02 8.948933432592531823e-01
1.147804270973229873e-01 4.138422856749875756e+00
2.461330938187890061e-01 9.900118145644048795e+00
3.774857605402546223e-01 2.070882588562490056e+01
5.088384272617202386e-01 2.711771908069489356e+01
6.401910939831861880e-01 4.170671163419101646e+01
7.715437607046518043e-01 4.820274419094014462e+01
9.028964274261178646e-01 5.774207596059296321e+01
1.034249094147583481e+00 7.837189239910506444e+01
1.165601760869048986e+00 8.000803051037480884e+01
1.296954427590515380e+00 1.017797958611373303e+02
1.428307094311981107e+00 1.251583278568438971e+02
1.559659761033446612e+00 1.477787049408213704e+02
1.691012427754912339e+00 1.992616078089373275e+02
1.822365094476377845e+00 2.591517674896419408e+02
1.953717761197844238e+00 2.940586768515531730e+02
2.085070427919309743e+00 3.403981695316055038e+02
2.216423094640775471e+00 3.885388121662078902e+02
2.347775761362241198e+00 4.251838683335797100e+02
2.479128428083707369e+00 4.093823969192229129e+02
2.610481094805173097e+00 3.923165984294865325e+02
