--- Relaxation Summary for Iteration 2 (Traditional) ---
Analysis Date: 2026-01-08 16:28:55

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
24           Pbcn            orthorhombic       -10.155919                2      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           Pbcn            orthorhombic       -10.155919                2      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           Pbcn            orthorhombic       -10.155919                2      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           Pbcn            orthorhombic       -10.155919                2      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           Pbcn            orthorhombic       -10.155919                2      26       D1:4.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           Pbcn            orthorhombic       -10.155919                2      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      24       D1:4.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      8        D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      6        D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      15       D1:1.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
24           P4_2/nmc        tetragonal         -10.129632                2      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
