--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2026-01-08 16:41:12

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
24           Pbcn            orthorhombic       -10.155919                4      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      2        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      1        D1:0.250, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      3        D1:0.250, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                2      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                2      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      27       D1:4.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                3      25       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      10       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                5      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
24           Pbcn            orthorhombic       -10.155919                4      12       D1:1.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
