--- Relaxation Summary for Main Iteration 1, GA Generation 2 ---
Analysis Date: 2025-08-31 15:29:50

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
4            P6_3mc          hexagonal          -4.826398                 1          2        1        D1:6.248, R21:-1.378, Cell:(0.204, -0.390, 0.073, 29.081, 9.899, -2.459), SC:2x1x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          2        20       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 7.932, 0.000), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          2        2        D1:0.250, R21:0.000, Cell:(0.000, -0.390, 0.073, 29.081, 9.899, 20.904), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          2        6        D1:0.250, R21:1.179, Cell:(-0.429, 0.000, 0.000, -33.735, 0.000, 0.000), SC:2x2x1, PhFactor:True
16           P6_3/mmc        hexagonal          -4.821212                 1          2        41       D1:4.110, R21:0.354, Cell:(0.173, 0.459, -0.307, 23.408, 6.912, -30.978), SC:2x2x2, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          2        23       D1:8.713, R21:0.071, Cell:(0.081, -0.050, 0.020, 38.823, 7.421, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        19       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        46       D1:9.455, R21:0.875, Cell:(-0.478, -0.199, 0.000, 6.633, -1.327, 27.623), SC:2x2x1, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          2        40       D1:2.448, R21:-0.733, Cell:(-0.190, 0.276, 0.103, -31.793, -37.384, -43.231), SC:2x2x2, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          2        7        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -38.784, 0.000), SC:2x2x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        42       D1:0.250, R21:-1.072, Cell:(0.000, 0.000, 0.000, -38.767, 0.000, 0.000), SC:2x2x1, PhFactor:True
4            Fm-3m           cubic              -4.820459                 1          2        25       D1:5.274, R21:-0.770, Cell:(0.275, -0.260, -0.054, 14.862, -26.156, 23.990), SC:1x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        11       D1:0.250, R21:-1.158, Cell:(0.000, 0.000, 0.000, 0.000, 26.903, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        21       D1:1.000, R21:0.000, Cell:(0.198, 0.000, 0.000, 0.000, 0.000, -18.240), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        18       D1:0.250, R21:0.000, Cell:(0.000, -0.438, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        13       D1:4.110, R21:-1.223, Cell:(-0.190, 0.276, 0.103, 38.823, 9.050, 23.168), SC:2x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        38       D1:1.000, R21:-0.960, Cell:(0.204, -0.390, 0.073, 29.081, 9.899, -2.459), SC:2x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        39       D1:6.248, R21:0.005, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        35       D1:1.000, R21:0.000, Cell:(0.000, 0.162, 0.000, -6.049, 10.706, 9.504), SC:2x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          2        22       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -5.533, 23.168), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820458                 1          2        43       D1:4.000, R21:0.250, Cell:(0.070, 0.030, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820458                 1          2        31       D1:9.455, R21:-0.747, Cell:(0.473, 0.000, -0.375, 0.000, -1.941, -20.604), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820458                 1          2        30       D1:0.112, R21:-0.250, Cell:(0.000, -0.199, 0.000, 6.633, 10.706, 9.504), SC:2x2x1, PhFactor:False
4            Fm-3m           cubic              -4.820458                 1          2        36       D1:6.248, R21:-1.378, Cell:(0.204, -0.045, -0.022, 4.900, -5.747, 21.950), SC:1x1x2, PhFactor:True
4            Fm-3m           cubic              -4.820458                 1          2        26       D1:3.677, R21:-0.620, Cell:(0.182, -0.227, -0.141, 39.873, 21.103, -14.566), SC:1x1x2, PhFactor:False
4            Fm-3m           cubic              -4.820458                 1          2        37       D1:5.274, R21:-0.770, Cell:(0.275, -0.390, 0.073, 22.473, 9.899, -2.459), SC:2x1x1, PhFactor:True
8            Fm-3m           cubic              -4.820458                 1          2        4        D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 38.823, -17.729, 23.168), SC:2x2x1, PhFactor:True
4            F-43m           cubic              -4.815802                 1          2        24       D1:9.516, R21:-0.791, Cell:(0.462, -0.102, -0.022, 4.900, -5.747, 21.950), SC:1x1x2, PhFactor:True
4            F-43m           cubic              -4.815802                 1          2        8        D1:4.110, R21:-0.733, Cell:(-0.455, 0.276, -0.145, 29.081, 20.905, -2.459), SC:2x1x1, PhFactor:False
2            F-43m           cubic              -4.815802                 1          2        27       D1:6.816, R21:0.289, Cell:(0.219, 0.077, 0.321, 8.795, 33.814, 7.870), SC:1x1x1, PhFactor:False
8            F-43m           cubic              -4.815802                 1          2        15       D1:1.945, R21:-1.460, Cell:(0.081, -0.294, -0.270, 6.633, 10.706, 9.504), SC:2x1x2, PhFactor:True
8            F-43m           cubic              -4.815802                 1          2        12       D1:2.044, R21:0.071, Cell:(0.081, -0.409, 0.260, -31.793, -37.384, -43.231), SC:2x1x2, PhFactor:False
8            F-43m           cubic              -4.815802                 1          2        29       D1:4.000, R21:0.848, Cell:(-0.070, 0.047, -0.070, 0.000, 0.000, 15.421), SC:2x1x2, PhFactor:True
