--- Relaxation Summary for Main Iteration 1, GA Generation 3 ---
Analysis Date: 2025-08-31 15:32:16

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
4            P6_3mc          hexagonal          -4.826398                 1          3        11       D1:5.434, R21:0.781, Cell:(0.204, -0.181, -0.234, 29.081, 7.932, 0.000), SC:2x1x1, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 1          3        1        D1:6.248, R21:-1.378, Cell:(0.204, -0.390, 0.073, 29.081, 9.899, -2.459), SC:2x1x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        48       D1:0.250, R21:0.000, Cell:(0.000, -0.390, 0.073, 29.081, 9.899, -2.459), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        50       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.103, -3.722, -29.495, -43.231), SC:2x2x1, PhFactor:True
16           P6_3/mmc        hexagonal          -4.821212                 1          3        38       D1:5.364, R21:0.394, Cell:(0.173, 0.000, 0.000, 0.000, -38.784, 0.000), SC:2x2x2, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        25       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 29.081, 9.899, -2.459), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        41       D1:8.472, R21:1.179, Cell:(-0.351, 0.000, 0.000, -33.735, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        26       D1:8.713, R21:0.071, Cell:(0.204, 0.492, 0.073, 29.081, 9.899, -2.459), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        19       D1:9.029, R21:0.354, Cell:(0.173, 0.459, -0.307, 23.408, 6.912, 0.000), SC:2x2x1, PhFactor:True
16           P6_3/mmc        hexagonal          -4.821212                 1          3        39       D1:0.250, R21:0.000, Cell:(0.000, 0.459, -0.307, 23.408, 6.912, -30.978), SC:2x2x2, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        32       D1:0.250, R21:-0.250, Cell:(0.173, 0.459, -0.307, 23.408, 6.912, -17.212), SC:2x2x1, PhFactor:True
