--- Relaxation Summary for Main Iteration 4, GA Generation 2 ---
Analysis Date: 2025-08-31 16:12:06

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 15
Replacement Rate: 30.00%
Selected Modes for Replacement:
  1. G (freq: 15.5419, band: 11)
  2. M (freq: 3.8015, band: 0)
  3. A (freq: 3.1622, band: 0)
  4. M (freq: 18.0815, band: 11)
  5. M (freq: 3.8015, band: 0)
  ... and 10 more

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
8            P6_3mc          hexagonal          -4.826398                 4          2        40       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        16       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          2        36       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        49       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.189, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          2        33       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        37       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        10       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 4          2        25       D1:1.000, R21:0.000, Cell:(0.000, 0.000, -0.073, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        14       D1:1.000, R21:0.814, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        41       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, 0.070, -18.263, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        43       D1:0.250, R21:-0.226, Cell:(-0.070, -0.070, -0.160, 0.000, 0.000, 26.688), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          2        9        D1:0.250, R21:-1.037, Cell:(0.070, 0.070, 0.031, 0.000, 0.000, 24.219), SC:2x2x1, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          2        6        D1:1.000, R21:-1.399, Cell:(0.070, 0.070, 0.070, 0.000, -21.764, 0.000), SC:2x2x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        17       D1:1.000, R21:0.250, Cell:(-0.071, 0.000, 0.000, 0.000, 0.000, -12.351), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        31       D1:0.250, R21:-0.250, Cell:(0.331, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        39       D1:0.250, R21:0.250, Cell:(0.170, 0.070, 0.070, 0.000, 7.203, 0.000), SC:1x1x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 4          2        4        D1:1.450, R21:0.000, Cell:(0.070, 0.070, 0.070, 5.464, 0.000, 0.000), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        2        D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, -17.837), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        42       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.416, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        38       D1:1.000, R21:0.000, Cell:(0.070, 0.190, 0.070, 0.000, -8.479, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        48       D1:1.000, R21:-0.831, Cell:(-0.070, -0.070, 0.458, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          2        29       D1:1.000, R21:-0.395, Cell:(-0.070, -0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        15       D1:0.619, R21:0.000, Cell:(0.203, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 4          2        8        D1:1.000, R21:0.250, Cell:(0.070, 0.070, -0.253, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P6_3/mmc        hexagonal          -4.821212                 4          2        44       D1:1.000, R21:0.000, Cell:(-0.313, 0.000, 0.000, 0.000, 43.735, -21.528), SC:2x2x2, PhFactor:False
4            P6_3/mmc        hexagonal          -4.821212                 4          2        30       D1:0.250, R21:0.000, Cell:(-0.010, 0.000, 0.381, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
