--- Relaxation Summary for Main Iteration 4, GA Generation 3 ---
Analysis Date: 2025-08-31 16:14:45

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. H (freq: 15.2869, band: 11)
  2. H (freq: 4.0318, band: 0)
  3. K (freq: 6.5360, band: 0)
  4. H (freq: 4.0318, band: 0)
  5. H (freq: 15.2869, band: 11)
  ... and 5 more

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
8            P6_3mc          hexagonal          -4.826398                 4          3        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        33       D1:1.000, R21:0.000, Cell:(0.000, 0.000, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        6        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        10       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.050, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        39       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        40       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.189, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        44       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, -10.273), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        7        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 6.167), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        49       D1:1.000, R21:-0.824, Cell:(-0.070, -0.070, -0.189, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        12       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 4.484), SC:2x1x1, PhFactor:False
32           P6_3mc          hexagonal          -4.826398                 4          3        31       D1:1.000, R21:0.000, Cell:(0.000, 0.406, 0.000, 0.000, 0.000, 30.926), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        20       D1:0.531, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        27       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        2        D1:1.000, R21:0.000, Cell:(0.000, 0.351, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        13       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, 0.368, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        15       D1:1.000, R21:0.000, Cell:(0.070, 0.315, -0.054, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
16           P6_3mc          hexagonal          -4.826398                 4          3        41       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        46       D1:1.000, R21:-0.250, Cell:(-0.070, 0.075, -0.111, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        35       D1:0.317, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
