--- Relaxation Summary for Main Iteration 5, GA Generation 2 ---
Analysis Date: 2025-08-31 16:24:42

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 7
Replacement Rate: 14.00%
Selected Modes for Replacement:
  1. A (freq: 3.1622, band: 0)
  2. L (freq: 3.3470, band: 0)
  3. M (freq: 18.0816, band: 11)
  4. K (freq: 6.5360, band: 0)
  5. L (freq: 3.3470, band: 0)
  ... and 2 more

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
8            P6_3mc          hexagonal          -4.826398                 5          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        47       D1:0.250, R21:0.000, Cell:(-0.358, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
4            P6_3mc          hexagonal          -4.826398                 5          2        14       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 5          2        21       D1:0.057, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 5          2        15       D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        44       D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        37       D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        20       D1:2.888, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        50       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        13       D1:0.250, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 11.830), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        19       D1:1.000, R21:-0.052, Cell:(0.070, 0.070, 0.070, -21.278, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 5          2        18       D1:2.493, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 5          2        48       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 8.067), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        28       D1:1.000, R21:0.000, Cell:(0.221, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        5        D1:1.000, R21:0.000, Cell:(0.070, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 5          2        29       D1:1.000, R21:1.165, Cell:(0.070, -0.166, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        49       D1:0.250, R21:0.250, Cell:(0.356, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        27       D1:1.000, R21:-0.250, Cell:(0.376, 0.377, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        3        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 11.566, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 5          2        34       D1:1.000, R21:1.426, Cell:(0.000, -0.220, 0.354, 7.124, -28.944, -38.545), SC:2x2x1, PhFactor:False
16           P6_3mc          hexagonal          -4.826398                 5          2        43       D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.416, 0.943, -15.648, -14.706), SC:2x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        11       D1:1.000, R21:0.000, Cell:(-0.319, 0.070, -0.032, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        26       D1:0.250, R21:0.812, Cell:(-0.160, -0.260, -0.070, 0.000, -10.975, 0.000), SC:1x1x2, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 5          2        40       D1:1.000, R21:0.000, Cell:(-0.147, 0.070, 0.070, 0.000, 0.000, -5.223), SC:1x1x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 5          2        46       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.298, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P6_3/mmc        hexagonal          -4.821212                 5          2        41       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 44.324, 0.000), SC:2x2x2, PhFactor:True
16           P6_3/mmc        hexagonal          -4.821212                 5          2        38       D1:8.604, R21:0.541, Cell:(-0.469, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 5          2        7        D1:0.250, R21:0.250, Cell:(0.070, -0.070, -0.070, 42.335, 0.000, 4.587), SC:1x1x2, PhFactor:True
8            R3m             trigonal           -4.820517                 5          2        16       D1:4.225, R21:0.000, Cell:(0.070, 0.070, 0.070, -25.321, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            R3m             trigonal           -4.820517                 5          2        10       D1:1.000, R21:0.000, Cell:(-0.070, -0.400, -0.070, 34.788, 0.000, 0.000), SC:1x1x2, PhFactor:True
