--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-31 16:56:39

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
8            P6_3mc          hexagonal          -4.826398                 4          2        40       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        23       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        24       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        18       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          3        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          3        12       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          3        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 3          3        19       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, -19.319, 0.000), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        33       D1:1.000, R21:0.000, Cell:(0.000, 0.000, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        49       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 5          1        29       D1:3.778, R21:0.541, Cell:(-0.469, -0.220, 0.354, 7.124, -28.944, -38.545), SC:2x2x1, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          2        16       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        6        D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 3          3        10       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.031, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        47       D1:0.250, R21:0.000, Cell:(-0.358, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 2          3        7        D1:2.261, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          3        34       D1:0.437, R21:0.000, Cell:(-0.358, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
32           P6_3mc          hexagonal          -4.826398                 2          1        84       D1:2.261, R21:0.402, Cell:(0.246, -0.486, 0.405, -2.563, -4.379, 14.637), SC:2x2x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        10       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.050, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 5          2        14       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        3        D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        5        D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        2        D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          1        11       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          2        42       D1:1.414, R21:0.000, Cell:(-0.153, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          2        20       D1:2.261, R21:0.402, Cell:(0.246, -0.486, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        39       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          3        32       D1:0.250, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, -15.154, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        40       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.189, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        44       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, -10.273), SC:1x1x2, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 3          3        50       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 3          2        17       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
