--- Relaxation Summary for Iteration 2 (Traditional) ---
Analysis Date: 2025-07-06 17:41:33

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
2            Fm-3m           cubic              -4.820459                 2      87       D1:31.623, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      16       D1:10.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      18       D1:10.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      52       D1:17.783, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      55       D1:17.783, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      88       D1:31.623, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      124      D1:56.234, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      158      D1:100.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      161      D1:100.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      15       D1:10.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      17       D1:10.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      19       D1:10.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      21       D1:10.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      50       D1:17.783, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      51       D1:17.783, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      53       D1:17.783, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      56       D1:17.783, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      85       D1:31.623, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      89       D1:31.623, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      90       D1:31.623, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      91       D1:31.623, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      120      D1:56.234, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      121      D1:56.234, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      122      D1:56.234, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      123      D1:56.234, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      125      D1:56.234, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      126      D1:56.234, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      156      D1:100.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
