--- Relaxation Summary for Iteration 3 (Traditional) ---
Analysis Date: 2025-07-06 17:42:26

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
2            Fm-3m           cubic              -4.820459                 3      19       D1:10.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      50       D1:17.783, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      51       D1:17.783, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      89       D1:31.623, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      90       D1:31.623, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      121      D1:56.234, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      158      D1:100.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      161      D1:100.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      15       D1:10.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      16       D1:10.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      20       D1:10.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      21       D1:10.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      53       D1:17.783, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      56       D1:17.783, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
