compound,mode,run_dir,start_date,end_date,duration_hours,actual_running_hours,start_path,end_path
Bi2Sn2O7,GA,./Bi2Sn2O7/Sn2Bi2O7_MACE_GA_phonon_output_20260107-205131,2026-01-07 21:15:17,2026-01-09 16:56:36,43.69,19.73,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_GA_phonon_output_20260107-205131/main_iter_1_gen_1/sample_1/relaxation_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_GA_phonon_output_20260107-205131/main_iter_4_gen_3/relaxation_summary_generation.txt
Bi2Sn2O7,OPT_RANDOM,./Bi2Sn2O7/Sn2Bi2O7_MACE_OPT_RANDOM_phonon_output_20260123-012721,2026-01-23 02:08:00,2026-01-23 04:04:05,1.93,1.93,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_OPT_RANDOM_phonon_output_20260123-012721/main_iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_OPT_RANDOM_phonon_output_20260123-012721/main_iter_5/iteration_5_summary.txt
Bi2Sn2O7,TRADITIONAL,./Bi2Sn2O7/Sn2Bi2O7_MACE_TRADITIONAL_phonon_output_20251229-145533,2025-12-29 15:29:07,2026-01-02 15:39:20,96.17,96.17,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_TRADITIONAL_phonon_output_20251229-145533/iter_1/relaxation_summary_iter.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_TRADITIONAL_phonon_output_20251229-145533/iter_4/sample_17/relaxation_summary.txt >>> 63.31 hours per direct analysis. (old checkpoints were missing)
Bi2Sn2O7,TRADITIONAL_ALL,./Bi2Sn2O7/Sn2Bi2O7_MACE_TRADITIONAL_ALL_phonon_output_20260123-012716,2026-01-23 02:08:06,2026-01-23 06:17:28,4.16,4.16,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_TRADITIONAL_ALL_phonon_output_20260123-012716/iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/Bi2Sn2O7/Sn2Bi2O7_MACE_TRADITIONAL_ALL_phonon_output_20260123-012716/overall_traditional_all_summary.txt
CsPbI3,GA,./CsPbI3/CsPbI3_MACE_GA_phonon_output_20251229-135624,2025-12-29 13:57:03,2025-12-29 14:11:50,0.25,0.25,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_MACE_GA_phonon_output_20251229-135624/main_iter_1_gen_1/sample_1/relaxation_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_MACE_GA_phonon_output_20251229-135624/main_iter_2_gen_2/relaxation_summary_generation.txt
CsPbI3,OPT_RANDOM,./CsPbI3/CsPbI3_MACE_OPT_RANDOM_phonon_output_20251229-001913,2025-12-29 00:35:12,2025-12-29 03:02:59,2.46,2.46,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_MACE_OPT_RANDOM_phonon_output_20251229-001913/main_iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_MACE_OPT_RANDOM_phonon_output_20251229-001913/main_iter_5/iteration_5_summary.txt
CsPbI3,TRADITIONAL,./CsPbI3/CsPbI3_TRADITIONAL_phonon_output_20251002-224829,2025-10-02 22:50:59,2025-10-02 23:30:11,0.65,0.65,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_TRADITIONAL_phonon_output_20251002-224829/iter_1/relaxation_summary_iter.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_TRADITIONAL_phonon_output_20251002-224829/iter_5/relaxation_summary_iter.txt
CsPbI3,TRADITIONAL_ALL,./CsPbI3/CsPbI3_TRADITIONAL_ALL_phonon_output_20251003-170449,2025-10-03 18:10:50,2025-10-03 19:21:04,1.17,1.17,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_TRADITIONAL_ALL_phonon_output_20251003-170449/iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/CsPbI3/CsPbI3_TRADITIONAL_ALL_phonon_output_20251003-170449/overall_traditional_all_summary.txt
HfO2,GA,./HfO2/HfO2_Fm3m_GA_phonon_output_20250826-161333,2025-08-26 16:16:03,2025-08-26 17:39:16,1.39,1.39,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_GA_phonon_output_20250826-161333/main_iter_1_gen_1/sample_1/relaxation_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_GA_phonon_output_20250826-161333/main_iter_5_gen_3/relaxation_summary_generation.txt
HfO2,OPT_RANDOM,./HfO2/HfO2_Fm3m_OPT_RANDOM_phonon_output_20250901-184308,2025-09-01 18:55:56,2025-09-01 22:53:51,3.97,3.97,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_OPT_RANDOM_phonon_output_20250901-184308/main_iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_OPT_RANDOM_phonon_output_20250901-184308/main_iter_7/sample_1/relaxation_summary.txt
HfO2,TRADITIONAL,./HfO2/HfO2_Fm3m_MACE_TRADITIONAL_phonon_output_20260108-162322,2026-01-08 16:26:53,2026-01-08 16:37:43,0.18,0.18,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_MACE_TRADITIONAL_phonon_output_20260108-162322/iter_1/relaxation_summary_iter.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_MACE_TRADITIONAL_phonon_output_20260108-162322/iter_5/relaxation_summary_iter.txt
HfO2,TRADITIONAL_ALL,./HfO2/HfO2_Fm3m_TRADITIONAL_ALL_phonon_output_20250903-162016,2025-09-03 16:33:56,2025-09-03 16:59:44,0.43,0.43,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_TRADITIONAL_ALL_phonon_output_20250903-162016/iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/HfO2/HfO2_Fm3m_TRADITIONAL_ALL_phonon_output_20250903-162016/iter_2/iteration_2_summary.txt
LiF_simple_cubic,GA,./LiF_simple_cubic/LiFsimplecubic_GA5it_phonon_output_20250831-152432,2025-08-31 15:25:00,2025-08-31 16:26:51,1.03,1.03,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_GA5it_phonon_output_20250831-152432/main_iter_1_gen_1/sample_1/relaxation_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_GA5it_phonon_output_20250831-152432/main_iter_5_gen_3/relaxation_summary_generation.txt
LiF_simple_cubic,OPT_RANDOM,./LiF_simple_cubic/LiFsimplecubic_MACE_OPT_RANDOM_phonon_output_20251229-142329,2025-12-29 14:28:29,2025-12-29 14:31:50,0.06,0.06,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_MACE_OPT_RANDOM_phonon_output_20251229-142329/main_iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_MACE_OPT_RANDOM_phonon_output_20251229-142329/main_iter_5/iteration_5_summary.txt
LiF_simple_cubic,TRADITIONAL,./LiF_simple_cubic/LiFsimplecubic_Traditional_run_phonon_output_20250706-173614,2025-07-06 17:40:40,2025-07-06 17:42:26,0.03,0.03,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_Traditional_run_phonon_output_20250706-173614/iter_1/relaxation_summary_iter.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_Traditional_run_phonon_output_20250706-173614/iter_3/relaxation_summary_iter.txt
LiF_simple_cubic,TRADITIONAL_ALL,./LiF_simple_cubic/LiFsimplecubic_TRADITIONAL_ALL_phonon_output_20250904-003516,2025-09-04 00:50:45,2025-09-04 00:55:40,0.08,0.08,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_TRADITIONAL_ALL_phonon_output_20250904-003516/iter_1/iteration_1_summary.txt,/gpfs/scratch/acad/htforft/rgouvea/vibroml_runs/examples_VibroML/VibroML_SupportData/LiF_simple_cubic/LiFsimplecubic_TRADITIONAL_ALL_phonon_output_20250904-003516/overall_traditional_all_summary.txt
